row_id,partner_id,partner_name,partner_type,click_date,clicks,conversions,revenue,commission_paid,campaign,device_type,region
1,PTR010,SavvyShopperNet,Loyalty/Cashback,14-03-2026,3477,352,30814.06,2465.12,New Year Refresh 2026,Tablet,US
2,PTR008,TravelWithMe,Content Site,04/27/2026,1538,59,10700.62,535.03,Summer Clearance 2025,Mobile,US
3,PTR014,OutdoorLifeReview,Content Site,06/09/2025,86,2,401.65,40.16,New Year Refresh 2026,Tablet,CA
4,PTR009,GadgetGuru,Content Site,2025-05-30,6089,0,0.0,0.0,Holiday Gift Guide 2025,Mobile,UK
5,PTR012,FoodieFinds,Content Site,2026-06-05,502,35,4069.61,406.96,Holiday Gift Guide 2025,Desktop,US
6,PTR013,BudgetBeautyBlog,Influencer,08/09/2025,3382,182,18193.89,"$3,638.78",Black Friday 2025,Desktop,UK
7,PTR012,FoodieFinds,Content Site,27-04-2025,823,68,8688.38,"$1,737.68",Back to School 2025,Desktop,AU
8,PTR009,GadgetGuru,Content Site,04-06-2025,3583,361,73990.41,8878.85,Holiday Gift Guide 2025,Mobile,UK
9,PTR006,HomeAndGardenTips,Content Site,2025-04-26,2856,452,16390.06,2458.51,Holiday Gift Guide 2025,Mobile,US
10,PTR015,CampusCoupons,Coupon Site,27-01-2026,1298,59,11984.73,2396.95,New Year Refresh 2026,Tablet,DE
11,PTR002,CouponKing,Coupon Site,2025-10-15,460,18,1537.8,153.78,Holiday Gift Guide 2025,Tablet,CA
12,PTR003,TechReviewHub,Content Site,10/07/2025,3713,222,44767.08,5372.05,Spring Sale 2025,Desktop,US
13,PTR020,EcoLivingToday,Content Site,2025-04-05,3849,298,41086.43,2054.32,Holiday Gift Guide 2025,Mobile,UK
14,PTR005,Deal Seeker 247,Coupon Site,2026-05-15,3640,41,3256.17,651.23,Back to School 2025,Tablet,AU
15,PTR020,EcoLivingToday,Content Site,04/27/2026,138,14,1513.07,302.61,Holiday Gift Guide 2025,Tablet,US
16,PTR009,GadgetGuru,Content Site,06/20/2025,524,68,2665.71,133.29,Holiday Gift Guide 2025,Desktop,DE
17,PTR019,GamerGearReviews,Content Site,06/12/2025,3221,70,10140.55,,Spring Sale 2025,Desktop,
18,PTR018,WellnessWeekly,Influencer,2025-03-29,3154,174,24464.22,3669.63,Black Friday 2025,Desktop,DE
19,PTR017,AutoDealsDaily,Affiliate,2026-04-08,1020,52,3233.02,3123.96,Spring Sale 2025,Mobile,US
20,PTR006,HomeAndGardenTips,Content Site,01/23/2026,3011,88,"$18,436.14",2765.42,Holiday Gift Guide 2025,Mobile,US
21,PTR016,PetLoversHub,Content Site,2025-10-21,2491,58,3849.95,769.99,Spring Sale 2025,Tablet,CA
22,PTR008,TravelWithMe,Content Site,08/24/2025,1694,57,10578.99,846.32,New Year Refresh 2026,Tablet,DE
23,PTR001,StyleBlog Daily,Content Site,11/02/2025,2763,137,8505.12,1020.61,New Year Refresh 2026,Mobile,US
24,PTR010,SavvyShopperNet,Loyalty/Cashback,06/18/2026,3105,54,6787.05,678.71,Black Friday 2025,Tablet,US
25,PTR015,CampusCoupons,Coupon Site,24-10-2025,836,10,$541.56,108.31,New Year Refresh 2026,Tablet,UK
26,PTR018,WellnessWeekly,Influencer,06/01/2025,527,37,7929.11,396.46,Summer Clearance 2025,Tablet,AU
27,PTR013,BudgetBeautyBlog,Influencer,2025-07-09,2543,179,29142.23,5828.45,Holiday Gift Guide 2025,Mobile,DE
28,,,,,,,,,,,
29,PTR016,PetLoversHub,Content Site,2026-05-08,3546,51,11066.4,1106.64,Black Friday 2025,Desktop,US
30,PTR014,OutdoorLifeReview,Content Site,11-04-2026,2918,324,"$51,975.21",6237.03,Holiday Gift Guide 2025,Mobile,US
31,PTR013,BudgetBeautyBlog,Influencer,2026-06-24,1051,55,"$7,792.55",389.63,Black Friday 2025,Mobile,US
32,PTR015,CampusCoupons,Coupon Site,2026-05-22,924,38,6662.73,666.27,Black Friday 2025,Mobile,DE
33,PTR012,FoodieFinds,Content Site,2025-08-08,1131,64,9083.6,726.69,Holiday Gift Guide 2025,Desktop,US
34,PTR013,BudgetBeautyBlog,Influencer,06-05-2026,3369,126,21342.02,4268.4,Back to School 2025,Mobile,AU
35,PTR006,HomeAndGardenTips,Content Site,06/05/2026,2312,186,39838.15,5975.72,Spring Sale 2025,Desktop,CA
36,PTR005,Deal Seeker 247,Coupon Site,01/15/2025,2846,120,9964.17,1992.83,Holiday Gift Guide 2025,Tablet,AU
